symptoms,disease,description,medicines
"Muscle weakness, spasticity, vision problems, speech difficulties, cognitive decline",Amyotrophic Lateral Sclerosis (ALS),Progressive neurodegenerative disease affecting nerve cells in the brain and spinal cord,"Riluzole, Edaravone, Physical therapy, Speech therapy"
"Muscle stiffness, spasms, difficulty walking, vision problems, fatigue",Primary Lateral Sclerosis,Rare neuromuscular disorder affecting voluntary muscle movement,"Physical therapy, Baclofen, Tizanidine"
"Muscle weakness, loss of reflexes, numbness, tingling, difficulty breathing",Guillain-Barré Syndrome,Rapid-onset muscle weakness caused by the immune system damaging the peripheral nervous system,"IVIG, Plasmapheresis, Supportive care"
"Muscle weakness, atrophy, difficulty swallowing, breathing problems, twitching",Spinal Muscular Atrophy,Genetic disorder affecting the control of muscle movement,"Nusinersen, Gene therapy, Physical therapy"
"Developmental delay, intellectual disability, distinctive facial features, heart defects",Williams Syndrome,Genetic disorder caused by deletion of genetic material on chromosome 7,"Speech therapy, Physical therapy, Educational support"
"Obesity, excessive hunger, intellectual disability, low muscle tone, behavioral problems",Prader-Willi Syndrome,Genetic disorder due to loss of function of specific genes,"Growth hormone therapy, Dietary management, Behavioral therapy"
"Tall stature, long limbs, heart problems, lens dislocation, scoliosis",Marfan Syndrome,Genetic disorder affecting connective tissue,"Beta-blockers, Aortic surgery, Regular monitoring"
"Obesity, high blood pressure, high blood sugar, abnormal cholesterol levels",Metabolic Syndrome,"Cluster of conditions increasing risk of heart disease, stroke and diabetes","Lifestyle modification, Statins, Antihypertensives, Metformin"
"Abdominal pain, vomiting, jaundice, dark urine, pale stools, weight loss",Alpha-1 Antitrypsin Deficiency,Genetic disorder causing lung and liver disease,"Alpha-1 proteinase inhibitor therapy, Bronchodilators, Liver transplant"
"Muscle weakness, exercise intolerance, heart problems, respiratory issues",Pompe Disease,Genetic metabolic disorder affecting muscle function,"Enzyme replacement therapy, Physical therapy"
"Muscle pain, cramps, fatigue, dark urine after exercise",McArdle Disease,Genetic disorder affecting muscle metabolism,"Dietary management, Physical therapy"
"Muscle weakness, heart problems, respiratory issues, feeding difficulties",Duchenne Muscular Dystrophy,Genetic disorder causing progressive muscle degeneration,"Corticosteroids, Physical therapy, Cardiac care"
"Muscle weakness, drooping eyelids, double vision, difficulty swallowing, shortness of breath",Lambert-Eaton Myasthenic Syndrome,Autoimmune disorder affecting nerve-muscle communication,"Immunosuppressants, Plasmapheresis, IVIG"
"Shortness of breath, wheezing, chest tightness, cough, fatigue",Bronchiectasis,Chronic condition where the walls of the bronchi are thickened from inflammation and infection,"Antibiotics, Airway clearance, Bronchodilators"
"Shortness of breath, cough, chest pain, fever, fatigue, bluish lips",Acute Respiratory Distress Syndrome (ARDS),Severe lung condition causing low oxygen levels,"Mechanical ventilation, Supportive care, Treat underlying cause"
"Shortness of breath, cough, chest pain, fever, fatigue, weight loss",Interstitial Lung Disease,Group of disorders causing lung scarring,"Corticosteroids, Immunosuppressants, Oxygen therapy"
"Shortness of breath, cough, chest pain, fever, fatigue, mucus production",Chronic Bronchitis,Chronic inflammation of the bronchi in the lungs,"Bronchodilators, Inhaled steroids, Oxygen therapy"
"Shortness of breath, cough, chest pain, fever, fatigue, barrel chest",Emphysema,Chronic lung disease causing shortness of breath,"Bronchodilators, Inhaled steroids, Oxygen therapy"
"Shortness of breath, cough, chest pain, fever, fatigue, morning headaches",Obstructive Sleep Apnea,Repeated episodes of blocked breathing during sleep,"CPAP, Weight loss, Surgery (in severe cases)"
"Shortness of breath, cough, chest pain, fever, fatigue, pink frothy sputum",Pulmonary Edema,Fluid accumulation in the lungs,"Diuretics, Oxygen therapy, Treat underlying cause"
"Shortness of breath, cough, chest pain, fever, fatigue, difficulty breathing",Pleural Effusion,Excess fluid between the layers of the pleura outside the lungs,"Thoracentesis, Treat underlying cause, Diuretics"
"Shortness of breath, cough, chest pain, fever, fatigue, sharp pain when breathing",Pleurisy,Inflammation of the tissues that line the lungs and chest cavity,"NSAIDs, Treat underlying cause, Corticosteroids"
"Shortness of breath, cough, chest pain, fever, fatigue, dizziness",Pulmonary Hypertension,High blood pressure in the arteries of the lungs,"Vasodilators, Anticoagulants, Oxygen therapy"
"Shortness of breath, cough, chest pain, fever, fatigue, skin lesions",Pulmonary Sarcoidosis,Inflammatory disease affecting the lungs,"Corticosteroids, Immunosuppressants, Methotrexate"
"Shortness of breath, cough, chest pain, fever, fatigue, clubbing of fingers",Idiopathic Pulmonary Fibrosis,Chronic progressive lung disease causing scarring,"Antifibrotic agents, Oxygen therapy, Pulmonary rehabilitation"
"Shortness of breath, cough, chest pain, fever, fatigue, wheezing",Bronchiolitis Obliterans,Obstruction of the smallest airways of the lungs,"Immunosuppressants, Corticosteroids, Supportive care"
"Shortness of breath, cough, chest pain, fever, fatigue, jaundice",Alpha-1 Antitrypsin Deficiency,Genetic disorder causing lung and liver disease,"Alpha-1 proteinase inhibitor therapy, Bronchodilators, Liver transplant"
"Shortness of breath, cough, chest pain, fever, fatigue, chills",Hypersensitivity Pneumonitis,Allergic reaction causing lung inflammation,"Corticosteroids, Avoidance of allergen, Oxygen therapy"
"Shortness of breath, cough, chest pain, fever, fatigue, recurrent pneumothorax",Lymphangioleiomyomatosis,Rare lung disease affecting women of childbearing age,"Sirolimus, Oxygen therapy, Lung transplant"
"Shortness of breath, chest pain, fatigue, fainting, swelling in legs",Pulmonary Hypertension,High blood pressure in lung arteries,"Vasodilators, Anticoagulants, Oxygen therapy"
"Shortness of breath, cough, chest pain, fatigue, skin lesions",Sarcoidosis,Inflammatory disease causing granulomas in organs,"Corticosteroids, Immunosuppressants, Supportive care"
"Nausea, vomiting, diarrhea, abdominal cramps, fever",Gastroenteritis,Inflammation of stomach and intestines,"Oral rehydration, Antiemetics, Antidiarrheals (if needed)"
"Unsteady gait, poor coordination, slurred speech, tremor, vision problems",Spinocerebellar Ataxia,Group of genetic disorders affecting the cerebellum,"Physical therapy, Occupational therapy, Supportive care"
"Low blood sugar, enlarged liver, growth delay, muscle weakness",Glycogen Storage Disease,Group of inherited disorders affecting glycogen metabolism,"Dietary management, Cornstarch therapy, Supportive care"
"Obesity, extra fingers/toes, kidney abnormalities, vision loss, learning difficulties",Bardet-Biedl Syndrome,Genetic disorder affecting multiple body systems,"Vision aids, Weight management, Supportive care"
"Chronic cough, night sweats, weight loss, fever, hemoptysis",Pulmonary Tuberculosis,Infectious bacterial disease affecting the lungs,"Isoniazid, Rifampin, Pyrazinamide, Ethambutol"
"Wheezing, rapid breathing, cough, difficulty feeding, cyanosis",Bronchiolitis,Inflammation of the small airways in the lungs (often viral),"Supportive care, Oxygen therapy, Fluids"
"Cough, fever, shortness of breath, chest pain, fatigue",Pneumonitis,Inflammation of lung tissue due to infection or irritants,"Corticosteroids, Antibiotics (if infectious), Supportive care"
"Sudden shortness of breath, chest pain, rapid heart rate, coughing up blood",Pulmonary Embolism,Blood clot in the lungs,"Anticoagulants, Thrombolytics, Surgery (in severe cases)"
"Severe shortness of breath, rapid breathing, confusion, low oxygen levels",Acute Respiratory Distress Syndrome (ARDS),Severe lung condition causing respiratory failure,"Mechanical ventilation, Supportive care, Treat underlying cause"
"Shortness of breath, dry cough, fatigue, weight loss",Interstitial Lung Disease,Group of disorders causing lung scarring,"Antifibrotic agents, Corticosteroids, Oxygen therapy"
"Chronic cough, mucus production, shortness of breath, frequent infections",Chronic Bronchitis,Type of COPD with long-term inflammation of bronchi,"Bronchodilators, Inhaled steroids, Smoking cessation"
"Shortness of breath, cough, wheezing, chest tightness",Emphysema,Type of COPD with damage to alveoli,"Bronchodilators, Oxygen therapy, Pulmonary rehabilitation"
"Loud snoring, daytime sleepiness, morning headaches, difficulty concentrating",Obstructive Sleep Apnea,Sleep disorder with repeated airway blockage,"CPAP, Weight loss, Oral appliances"
"Shortness of breath, rapid breathing, pink frothy sputum, anxiety",Pulmonary Edema,Fluid accumulation in the lungs,"Diuretics, Oxygen therapy, Treat underlying cause"
"Shortness of breath, chest pain, dry cough, fever, pleuritic pain",Pleural Effusion,Excess fluid between lung and chest wall,"Thoracentesis, Treat underlying cause, Supportive care"
"Sharp chest pain, worsens with breathing/coughing, fever, dry cough",Pleurisy,Inflammation of the pleura (lung lining),"NSAIDs, Treat underlying cause, Supportive care"
"Shortness of breath, cough, chest pain, fatigue, skin lesions",Pulmonary Sarcoidosis,Type of sarcoidosis affecting the lungs,"Corticosteroids, Immunosuppressants, Supportive care"
"Progressive shortness of breath, dry cough, fatigue, clubbing of fingers",Idiopathic Pulmonary Fibrosis,Chronic lung disease with unknown cause,"Antifibrotic agents, Oxygen therapy, Pulmonary rehabilitation"
"Progressive cough, shortness of breath, wheezing, fatigue",Bronchiolitis Obliterans,Obstructive lung disease with airway inflammation and scarring,"Immunosuppressants, Supportive care, Oxygen therapy"
"Cough, fever, chills, shortness of breath, weight loss",Hypersensitivity Pneumonitis,Allergic reaction in the lungs to inhaled particles,"Corticosteroids, Avoidance of trigger, Supportive care"
"Shortness of breath, chest pain, cough, recurrent pneumothorax",Lymphangioleiomyomatosis,Rare lung disease affecting women,"Sirolimus, Oxygen therapy, Supportive care"
"Shortness of breath, cough, thick sputum, fatigue, hypoxemia",Pulmonary Alveolar Proteinosis,Rare lung disease with surfactant accumulation,"Whole lung lavage, GM-CSF therapy, Supportive care"
"Rapid breathing, poor feeding, cyanosis, chronic lung disease in infants",Bronchopulmonary Dysplasia,Chronic lung disease in premature infants,"Oxygen therapy, Diuretics, Supportive care"
"Cough, wheezing, difficulty breathing, fever, runny nose",RSV Infection,Respiratory syncytial virus infection common in infants,"Supportive care, Oxygen therapy, Fluids"
"Chronic cough, thick mucus, recurrent lung infections, sinusitis",Primary Ciliary Dyskinesia,Genetic disorder affecting cilia movement,"Airway clearance, Antibiotics, Supportive care"
"Chronic sinusitis, bronchiectasis, situs inversus, infertility",Kartagener Syndrome,Genetic disorder with triad of symptoms,"Airway clearance, Antibiotics, Supportive care"
"Cough, shortness of breath, chest pain, weight loss, bone lesions",Pulmonary Langerhans Cell Histiocytosis,Rare lung disease with abnormal Langerhans cells,"Smoking cessation, Steroids, Chemotherapy"
"Cough, hemoptysis, shortness of breath, anemia, kidney problems",Pulmonary Capillaritis,Inflammation of lung capillaries often with autoimmune disease,"Immunosuppressants, Steroids, Supportive care"
"Muscle weakness, tremors, coordination problems, slurred speech, memory loss",Wilson's Disease,Genetic disorder causing copper accumulation in organs,"D-penicillamine, Trientine, Zinc supplements, Low copper diet"
"Vision problems, cataracts, poor muscle tone, developmental delays",Galactosemia,Genetic disorder affecting galactose metabolism,"Galactose-restricted diet, Dietary supplements, Regular monitoring"
"Bone pain, short stature, bone deformities, delayed walking",Hypophosphatasia,Genetic disorder affecting bone and tooth mineralization,"Enzyme replacement therapy, Vitamin B6, Supportive care"
"Hyperflexible joints, easy bruising, fragile skin, poor wound healing",Ehlers-Danlos Syndrome,Inherited disorder affecting connective tissue,"Physical therapy, Pain management, Joint protection"
"Heat intolerance, excessive sweating, rapid heartbeat, anxiety, weight loss",Graves' Disease,Autoimmune disorder causing overactive thyroid,"Antithyroid medications, Radioactive iodine, Beta blockers"
"Joint stiffness, skin rashes, fever, muscle weakness, organ inflammation",Juvenile Dermatomyositis,Childhood autoimmune disease affecting muscles and skin,"Corticosteroids, Immunosuppressants, Physical therapy"
"Chronic fatigue, brain fog, muscle aches, sleep problems, post-exertional malaise",Chronic Fatigue Syndrome,Complex disorder causing extreme fatigue,"Pain management, Sleep therapy, Activity pacing"
"Recurring headaches, visual disturbances, sensitivity to light and sound",Chronic Migraine,Neurological condition causing severe headaches,"Preventive medications, Pain relievers, Lifestyle changes"
"Tremors, stiffness, slow movement, poor balance, stooped posture",Progressive Supranuclear Palsy,Rare brain disorder affecting movement and balance,"Supportive care, Physical therapy, Speech therapy"
"Muscle cramps, numbness, tingling, balance problems, coordination issues",Multiple Sclerosis,Autoimmune disease affecting the central nervous system,"Disease-modifying drugs, Corticosteroids, Physical therapy"
"Abdominal pain, blood in urine, kidney stones, UTIs, high blood pressure",Polycystic Kidney Disease,Genetic disorder causing kidney cysts,"Blood pressure control, Pain management, Dialysis if needed"
"Vision loss, light sensitivity, poor night vision, peripheral vision loss",Retinitis Pigmentosa,Genetic disorder causing retinal degeneration,"Vision aids, Vitamin A, Regular monitoring"
"Growth delays, heart defects, feeding problems, distinctive facial features",Noonan Syndrome,Genetic disorder affecting multiple body systems,"Growth hormone therapy, Heart surgery if needed, Physical therapy"
"Developmental delays, seizures, autism-like behavior, sleep problems",Angelman Syndrome,Genetic disorder affecting nervous system development,"Anticonvulsants, Physical therapy, Speech therapy"
"Cleft palate, heart defects, immune problems, learning difficulties",DiGeorge Syndrome,Genetic disorder affecting multiple body systems,"Immune system support, Heart surgery, Speech therapy"
"Frequent infections, poor growth, diarrhea, liver problems",Chronic Granulomatous Disease,Inherited disorder affecting immune system,"Antibiotics, Antifungals, Interferon-gamma"
"Bone deformities, short stature, hearing loss, blue sclera",Osteogenesis Imperfecta,Genetic disorder causing brittle bones,"Bisphosphonates, Physical therapy, Pain management"
"Painful swollen joints, skin rashes, fever, fatigue, kidney problems",Systemic Lupus Erythematosus,Autoimmune disease affecting multiple organs,"Immunosuppressants, NSAIDs, Antimalarials"
"Blood in stool, abdominal pain, diarrhea, weight loss, fatigue",Ulcerative Colitis,Inflammatory bowel disease affecting colon,"Anti-inflammatory drugs, Immunosuppressants, Surgery if needed"
"Pelvic pain, heavy periods, infertility, fatigue",Endometriosis,Condition where uterine tissue grows outside uterus,"Hormone therapy, Pain management, Surgery"
"Facial pain, numbness, muscle spasms, sensitivity to touch",Trigeminal Neuralgia,Chronic condition affecting facial nerves,"Anticonvulsants, Pain medications, Surgery in severe cases"
"Memory loss, personality changes, hallucinations, sleep problems",Lewy Body Dementia,Progressive brain disorder causing dementia,"Cholinesterase inhibitors, Antipsychotics, Supportive care"
"Eye pain, vision loss, halos around lights, increased eye pressure",Glaucoma,Group of eye conditions causing optic nerve damage,"Eye drops, Oral medications, Surgery if needed"
"Joint pain, back pain, stiffness, reduced mobility, fatigue",Ankylosing Spondylitis,Inflammatory arthritis affecting spine,"NSAIDs, Biologics, Physical therapy"
"Poor balance, unsteady gait, frequent falls, dizziness",Charcot-Marie-Tooth Disease,Inherited nerve disorder affecting movement,"Physical therapy, Occupational therapy, Supportive devices"
"Severe muscle weakness, double vision, drooping eyelids, breathing problems",Myasthenia Gravis,"Autoimmune disorder affecting nerve-muscle communication","Acetylcholinesterase inhibitors, Immunosuppressants, Thymectomy"
"Itchy red patches, scaling, silver plaques on skin, joint pain",Psoriasis,"Chronic autoimmune condition causing rapid skin cell growth","Topical treatments, Phototherapy, Systemic medications"
"Blood in urine, flank pain, fever, frequent urination",Kidney Stones,Crystalline deposits in the kidneys,"Pain management, Hydration, Lithotripsy, Surgery if needed"
"Fatigue, shortness of breath, swelling, exercise intolerance",Diastolic Heart Failure,Heart condition where ventricle doesn't relax properly,"ACE inhibitors, Beta blockers, Diuretics, Lifestyle changes"
"Eye inflammation, light sensitivity, blurred vision, eye pain",Uveitis,Inflammation of the middle layer of the eye,"Corticosteroid drops, Immunosuppressants, Treating underlying cause"
"Progressive hearing loss, ringing in ears, dizziness, vertigo",Meniere's Disease,Inner ear disorder affecting balance and hearing,"Salt restriction, Diuretics, Anti-vertigo medications"
"Muscle weakness, joint deformities, breathing problems",Spinal Muscular Atrophy Type 2,Genetic disorder affecting motor neurons,"Gene therapy, Physical therapy, Respiratory support"
"Abdominal pain, greasy stools, weight loss, malnutrition",Exocrine Pancreatic Insufficiency,Condition where pancreas doesn't produce enough digestive enzymes,"Pancreatic enzyme replacement, Nutritional supplements"
"Vision problems, bone abnormalities, hearing loss, facial features",Stickler Syndrome,Genetic disorder affecting collagen production,"Regular monitoring, Vision care, Hearing aids, Joint protection"
"Muscle weakness, respiratory issues, delayed development, heart problems",Acid Maltase Deficiency,Genetic disorder affecting glycogen metabolism,"Enzyme replacement therapy, Respiratory support, Physical therapy"
"Hair loss, nail abnormalities, teeth problems, sweating problems",Ectodermal Dysplasia,Genetic disorder affecting skin and its appendages,"Temperature regulation, Dental care, Skin care"
"High blood sugar, excessive thirst, frequent urination, slow healing",MODY Diabetes,Maturity-onset diabetes of the young,"Diet management, Oral medications, Regular monitoring"
"Memory problems, anxiety, tremors, difficulty walking, slurred speech",Cerebellar Ataxia,Progressive disorder affecting balance and coordination,"Physical therapy, Occupational therapy, Speech therapy"
"Skin ulcers, joint pain, cold sensitivity, digestive problems",Limited Scleroderma,Autoimmune condition primarily affecting skin and blood vessels,"Vasodilators, Immunosuppressants, Skin care"
"Vision loss, hearing loss, poor balance, muscle weakness",Usher Syndrome,Genetic disorder causing combined hearing and vision loss,"Vision aids, Hearing aids, Physical therapy"
"Poor bone density, fractures, muscle weakness, joint pain",X-linked Hypophosphatemia,Genetic disorder affecting phosphate metabolism,"Phosphate supplements, Vitamin D, Pain management"
"Recurring fever, abdominal pain, chest pain, joint pain",Familial Mediterranean Fever,Genetic inflammatory disorder,"Colchicine, Pain management, Anti-inflammatory drugs"
"Weight gain, purple stretch marks, muscle weakness, high blood pressure",Cushing's Syndrome,Condition of excess cortisol production,"Surgery, Medication to block cortisol, Regular monitoring"
